State,Year,Adult.Obesity,Adult.Obesity*100,Average.Age,Average.Income,Population,Poverty.Rate,Poverty.Rate*100,Real.GDP,Real.GDP.Growth,Real.GDP.Growth*100,Real.Personal.Income,Region,Region.Encoding,Unit,Real.GDP.Per.Capita,YearFE
Alabama,2014,0.330000013,33,38.68572231,23759.07328,4849377,0.192525768,19.25,186335,-0.0097,-0.97,201887.4,Southeast Region,5,Millions of chained 2012 dollars,0.038424523,2014
Alabama,2015,0.331999987,33.2,38.80329283,24719.75935,4858979,0.18495659,18.50,188715.7,0.0128,1.28,210057.1,Southeast Region,5,Millions of chained 2012 dollars,0.03883855,2015
Alabama,2016,0.335999995,33.6,38.98514712,25930.17889,4863300,0.170886897,17.09,189613.6,0.0048,0.48,212195.6,Southeast Region,5,Millions of chained 2012 dollars,0.03898867,2016
Alabama,2017,0.340000004,34,39.17638392,26471.72046,4874747,0.168889188,16.89,193053,0.0181,1.81,215669.8,Southeast Region,5,Millions of chained 2012 dollars,0.039602671,2017
Alaska,2014,0.277999997,27.8,34.89704669,33013.91056,736732,0.112337211,11.23,53209,-0.0282,-2.82,37656.3,Far West Region,8,Millions of chained 2012 dollars,0.072223006,2014
Alaska,2015,0.282999992,28.3,34.82553979,33526.31513,738432,0.103406797,10.34,53584.5,0.0071,0.71,39122.9,Far West Region,8,Millions of chained 2012 dollars,0.072565246,2015
Alaska,2016,0.284000009,28.4,35.10561886,34470.12288,741894,0.098852435,9.89,52607.5,-0.0182,-1.82,38079.3,Far West Region,8,Millions of chained 2012 dollars,0.070909726,2016
Alaska,2017,0.287,28.7,35.59140302,34438.53759,739795,0.111054975,11.11,52492,-0.0022,-0.22,38119.9,Far West Region,8,Millions of chained 2012 dollars,0.070954792,2017
Arizona,2014,0.243000001,24.3,37.99691851,25741.03745,6731484,0.182411941,18.24,273406.9,0.0121,1.21,261264.5,Southwest Region,6,Millions of chained 2012 dollars,0.040616141,2014
Arizona,2015,0.238999993,23.9,38.31912467,26714.83189,6828065,0.173725157,17.37,279434.7,0.0221,2.21,274421.5,Southwest Region,6,Millions of chained 2012 dollars,0.040924435,2015
Arizona,2016,0.234999999,23.5,38.54786829,27949.56956,6931071,0.163557521,16.36,288682.3,0.0331,3.31,283460,Southwest Region,6,Millions of chained 2012 dollars,0.041650461,2016
Arizona,2017,0.261000007,26.1,38.68951409,29420.61094,7016270,0.148618005,14.86,297209.8,0.0295,2.95,294575.6,Southwest Region,6,Millions of chained 2012 dollars,0.042360086,2017
Arkansas,2014,0.324999988,32.5,38.31878232,22790.87153,2966369,0.188660828,18.87,112706.2,0.0083,0.83,127264.6,Southeast Region,5,Millions of chained 2012 dollars,0.037994666,2014
Arkansas,2015,0.328999996,32.9,38.44661313,23692.40836,2978204,0.190662884,19.07,113177.4,0.0042,0.42,130429.9,Southeast Region,5,Millions of chained 2012 dollars,0.038001896,2015
Arkansas,2016,0.333000004,33.3,38.52372661,24383.1284,2988248,0.172227915,17.22,113787.7,0.0054,0.54,132984.5,Southeast Region,5,Millions of chained 2012 dollars,0.038078399,2016
Arkansas,2017,0.344000012,34.4,38.64758699,25272.81432,3004279,0.164030297,16.40,114851.2,0.0094,0.94,136629.5,Southeast Region,5,Millions of chained 2012 dollars,0.038229206,2017
California,2014,0.231999993,23.2,36.98082299,30345.81714,38802500,0.164452457,16.45,2309927.5,0.0401,4.01,1731411.7,Far West Region,8,Millions of chained 2012 dollars,0.059530378,2014
California,2015,0.229000002,22.9,37.24374641,31599.14674,39144818,0.153436878,15.34,2426142.6,0.0503,5.03,1856155.8,Far West Region,8,Millions of chained 2012 dollars,0.06197864,2015
California,2016,0.224999994,22.5,37.44772052,33360.48776,39250017,0.143470698,14.35,2498839.9,0.03,3,1905733.6,Far West Region,8,Millions of chained 2012 dollars,0.063664683,2016
California,2017,0.226999998,22.7,37.65111657,35128.22756,39536653,0.133018957,13.30,2587571.6,0.0355,3.55,1955659.6,Far West Region,8,Millions of chained 2012 dollars,0.065447412,2017
Colorado,2014,0.202999994,20.3,37.18738015,32406.21534,5355866,0.12044454,12.04,295010.1,0.0442,4.42,259111,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.055081681,2014
Colorado,2015,0.203999996,20.4,37.30478978,33282.87669,5456574,0.114905036,11.49,307911.9,0.0437,4.37,270237.2,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.056429529,2015
Colorado,2016,0.201000005,20.1,37.52566255,34634.9151,5540545,0.110461232,11.05,315425,0.0244,2.44,271884.7,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.05693032,2016
Colorado,2017,0.202000007,20.2,37.78889237,36491.06897,5607154,0.102918347,10.29,325129.4,0.0308,3.08,285343,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.057984746,2017
Connecticut,2014,0.237000003,23.7,39.66672626,39482.45367,3596677,0.107519188,10.75,237558.1,-0.0146,-1.46,214265.2,New England Region,1,Millions of chained 2012 dollars,0.066049328,2014
Connecticut,2015,0.244000003,24.4,39.84178362,39629.64632,3590886,0.105405391,10.54,241916.1,0.0183,1.83,219601.8,New England Region,1,Millions of chained 2012 dollars,0.067369474,2015
Connecticut,2016,0.246999994,24.7,40.08673568,41122.30754,3576452,0.097745102,9.77,241446.5,-0.0019,-0.19,221841.8,New England Region,1,Millions of chained 2012 dollars,0.067510063,2016
Connecticut,2017,0.250999987,25.1,40.38352437,41961.13526,3588184,0.095942553,9.59,239884,-0.0065,-0.65,226462.2,New England Region,1,Millions of chained 2012 dollars,0.066853874,2017
Delaware,2014,0.287,28.7,39.26644108,30546.43482,935614,0.124787409,12.48,63693.3,0.0767,7.67,41304.6,Mideast Region,2,Millions of chained 2012 dollars,0.068076472,2014
Delaware,2015,0.282000005,28.2,39.642474,31124.2246,945934,0.124256401,12.43,65635.3,0.0305,3.05,43896.9,Mideast Region,2,Millions of chained 2012 dollars,0.069386765,2015
Delaware,2016,0.289999992,29,40.01247184,31918.00251,952065,0.116749599,11.67,63718.3,-0.0292,-2.92,44313.5,Mideast Region,2,Millions of chained 2012 dollars,0.066926418,2016
Delaware,2017,0.294,29.4,40.29274933,34849.82608,961939,0.135821603,13.58,63651,-0.0011,-0.11,45604.3,Mideast Region,2,Millions of chained 2012 dollars,0.066169476,2017
Florida,2014,0.257999986,25.8,40.98932349,26575.22213,19893297,0.164950198,16.50,804321.7,0.0258,2.58,838939.1,Southeast Region,5,Millions of chained 2012 dollars,0.040431795,2014
Florida,2015,0.257999986,25.8,41.18171677,27675.25094,20271272,0.157021538,15.70,835928.4,0.0393,3.93,894763.1,Southeast Region,5,Millions of chained 2012 dollars,0.041237097,2015
Florida,2016,0.254999995,25.5,41.39916824,28539.31226,20612439,0.147266685,14.73,864028.7,0.0336,3.36,910505,Southeast Region,5,Millions of chained 2012 dollars,0.041917829,2016
Florida,2017,0.256999999,25.7,41.52116124,29834.12689,20984400,0.140472399,14.05,885905.7,0.0253,2.53,952254.7,Southeast Region,5,Millions of chained 2012 dollars,0.042217347,2017
Georgia,2014,0.284999996,28.5,36.56937117,25580.84931,10097343,0.183020644,18.30,464060.9,0.0295,2.95,424077,Southeast Region,5,Millions of chained 2012 dollars,0.045958714,2014
Georgia,2015,0.287,28.7,36.76344091,26863.34682,10214860,0.170467996,17.05,479242.4,0.0327,3.27,444594.3,Southeast Region,5,Millions of chained 2012 dollars,0.046916199,2015
Georgia,2016,0.289999992,29,36.99944997,28213.9935,10310371,0.159659453,15.97,495225.8,0.0334,3.34,458962.3,Southeast Region,5,Millions of chained 2012 dollars,0.048031812,2016
Georgia,2017,0.296000004,29.6,37.25368903,29607.16698,10429379,0.149457392,14.95,509422.2,0.0287,2.87,475057.9,Southeast Region,5,Millions of chained 2012 dollars,0.048844922,2017
Hawaii,2014,0.223000005,22.3,39.02837286,29887.5061,1419561,0.113587872,11.36,74504.4,0.0031,0.31,55007.1,Far West Region,8,Millions of chained 2012 dollars,0.052484113,2014
Hawaii,2015,0.224999994,22.5,39.05534705,31397.44797,1431603,0.106148605,10.61,77022.5,0.0338,3.38,57413.9,Far West Region,8,Millions of chained 2012 dollars,0.053801578,2015
Hawaii,2016,0.221000001,22.1,39.56907005,33018.3693,1428557,0.093252543,9.33,78756.8,0.0225,2.25,59257.1,Far West Region,8,Millions of chained 2012 dollars,0.055130317,2016
Hawaii,2017,0.223000005,22.3,39.82994288,33731.14697,1427538,0.095458572,9.55,79997.7,0.0158,1.58,60538.5,Far West Region,8,Millions of chained 2012 dollars,0.056038929,2017
Idaho,2014,0.26699999,26.7,36.89654223,24004.61734,1634464,0.148452076,14.85,61366.5,0.0257,2.57,64328.5,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.037545336,2014
Idaho,2015,0.273000002,27.3,37.05818615,24409.73002,1654930,0.151376967,15.14,63208.1,0.03,3,68597.3,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.038193821,2015
Idaho,2016,0.27700001,27.7,37.27247882,25682.64325,1683140,0.143680352,14.37,65565.1,0.0373,3.73,70988.1,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.038954038,2016
Idaho,2017,0.280000001,28,37.47388003,26228.79206,1716943,0.128259801,12.83,67160.6,0.0243,2.43,73733,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.039116383,2017
Illinois,2014,0.27700001,27.7,37.94835442,30576.80736,12880580,0.143537768,14.35,734217.6,0.0133,1.33,625264.3,Great Lakes Region,3,Millions of chained 2012 dollars,0.057001905,2014
Illinois,2015,0.273000002,27.3,38.15174337,31823.59071,12859995,0.135615954,13.56,741724.6,0.0102,1.02,650945.6,Great Lakes Region,3,Millions of chained 2012 dollars,0.057676896,2015
Illinois,2016,0.273999989,27.4,38.40283789,32932.0302,12801539,0.129699297,12.97,743816.6,0.0028,0.28,654910.5,Great Lakes Region,3,Millions of chained 2012 dollars,0.058103686,2016
Illinois,2017,0.273000002,27.3,38.62901129,33998.3873,12802023,0.125542878,12.55,748161.6,0.0058,0.58,663495.6,Great Lakes Region,3,Millions of chained 2012 dollars,0.058440889,2017
Indiana,2014,0.31400001,31.4,37.83197145,25248.37346,6596855,0.152424955,15.24,313056.8,0.0301,3.01,290530.8,Great Lakes Region,3,Millions of chained 2012 dollars,0.047455462,2014
Indiana,2015,0.312999994,31.3,37.9817674,26437.2505,6619680,0.145413779,14.54,309876.7,-0.0102,-1.02,303957.5,Great Lakes Region,3,Millions of chained 2012 dollars,0.046811432,2015
Indiana,2016,0.31400001,31.4,38.14381266,27501.28882,6633053,0.140852574,14.09,315130.3,0.017,1.7,311406.3,Great Lakes Region,3,Millions of chained 2012 dollars,0.047509088,2016
